Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
Signature Boxed Lunch - Assorted,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - Assorted,Assorted,,Signature Boxed Lunch,Assorted,,,Signature Boxed Lunch,Assorted,
Orange Juice Carafe,$9.99 ,351-products,,,,,,,,Y,Orange Juice Carafe,,
Signature Boxed Lunch - California Veggie Lettuce Wrap,$10.99 ,15-products,,,,,Signature Boxed Lunch,California Veggie Lettuce Wrap,,N,Signature Boxed Lunch,California Veggie Lettuce Wrap,
Bottled Water,$1.99 ,51-products,,,,,,,,Y,Bottled Water,,
Signature Meat Tray - Assorted,$7.39 ,239-products,,,,,,,,Y,,,
Assorted Canned Sodas,$1.59 ,47-products,,,,,,,,Y,,,
Gallon Orange Juice,$9.99 ,351-products,,,,,,,,Y,,,
Coffee Carafe,$19.99 ,39-products,,,,,,,,Y,Coffee Carafe,,
Coffee Carafe - Creamer,$19.99 ,39-products,,,,,,,,Y,,,
Coffee Carafe - Diet Sweeteners,$19.99 ,39-products,,,,,,,,Y,,,
Coffee Carafe - Sugar,$19.99 ,39-products,,,,,,,,Y,,,
Coffee Carafe - Decaf,$19.99 ,39-products,,,,,,,,Y,,,
Coffee Carafe - Regular,$19.99 ,39-products,,,,,,,,Y,,,
Coffee Carafe - Assorted,$19.99 ,39-products,,,,,,,,Y,,,
Ham Salad,$2.99 ,91-products,,,,,,,,Y,Ham Salad,,
Chicken Salad,$2.99 ,95-products,,,,,,,,Y,Chicken Salad,,
Deep River Kettle Chips,$1.99 ,159-products,,,,,,,,Y,,,
Ice,$2.00 ,123-products,,,,,,,,Y,Ice,,
Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch - Ham Lettuce Wrap (No Cheese),$13.99 ,567-products,,,,,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,Ham Lettuce Wrap (No Cheese),,N,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,Ham Lettuce Wrap (No Cheese),
Assorted Bagel Tray,$1.99 ,63-products,,,,,,,,Y,,,
Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch - Turkey Bacon Lettuce Wrap (No Cheese/No Ranch),$13.99 ,567-products,,,,,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,Turkey Bacon Lettuce Wrap (No Cheese/No Ranch),,N,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,Turkey Bacon Lettuce Wrap (No Cheese/No Ranch),
Signature Bone-in Ham - Business Gifting - Medium,$84.00 ,3-products,,,,,Signature Bone-in Ham - Business Gifting,Medium,,,Signature Bone-in Ham - Business Gifting,Medium,
Cake - Coconut,$27.99 ,371-products,,,,,Cake,Coconut,,,Cake,Coconut,
Cake - Chocolate,$27.99 ,371-products,,,,,Cake,Chocolate,,,Cake,Chocolate,
,$22.99 ,,,,,,"Cheesecake, NY Style",,,,"Cheesecake, NY Style",,
,$27.99 ,499-products,,,,,Cheesecake Sampler,,,,Cheesecake Sampler,,
Cake - Red Velvet,$27.99 ,371-products,,,,,Cake,Red Velvet,,,Cake,Red Velvet,
Pie - Pecan,$17.99 ,275-products,,,,,Pie,Pecan,,,Pie,Pecan,
Pie - Pumpkin,$17.99 ,463-products,,,,,Pie,Pumpkin,,,Pie,Pumpkin,
Pie - Apple Caramel Walnut,$17.99 ,459-products,,,,,Pie,Apple Caramel Walnut,,,Pie,Apple Caramel Walnut,
Whole Frozen Turkey - Cajun,$85.00 ,207-products,,,,,Whole Frozen Turkey,Cajun,,,Whole Frozen Turkey,Cajun,
Whole Frozen Turkey - Smoked,$85.00 ,207-products,,,,,Whole Frozen Turkey,Smoked,,,Whole Frozen Turkey,Smoked,
Whole Frozen Turkey - Roasted,$85.00 ,207-products,,,,,Whole Frozen Turkey,Roasted,,,Whole Frozen Turkey,Roasted,
Premium Turkey Breast - Roasted,$42.00 ,171-products,,,,,Premium Turkey Breast,Roasted,,,Premium Turkey Breast,Roasted,
Premium Turkey Breast - Smoked,$42.00 ,167-products,,,,,Premium Turkey Breast,Smoked,,,Premium Turkey Breast,Smoked,
Premium Boneless Ham - Business Gifting - Whole (serves up to 20),$105.00 ,187-products,,,,,Premium Boneless Ham - Business Gifting,Whole (serves up to 20),,,Premium Boneless Ham - Business Gifting,Whole (serves up to 20),
Premium Boneless Ham - Business Gifting - Half (serves up to 10),$57.00 ,143-products,,,,,Premium Boneless Ham - Business Gifting,Half (serves up to 10),,,Premium Boneless Ham - Business Gifting,Half (serves up to 10),
Signature Bone-in Ham - Business Gifting - Deluxe,$102.00 ,179-products,,,,,Signature Bone-in Ham - Business Gifting,Deluxe,,,Signature Bone-in Ham - Business Gifting,Deluxe,
Signature Bone-in Ham - Business Gifting - Large,$93.00 ,175-products,,,,,Signature Bone-in Ham - Business Gifting,Large,,,Signature Bone-in Ham - Business Gifting,Large,
Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch - California Veggie Lettuce Wrap,$13.99 ,567-products,,,,,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,California Veggie Lettuce Wrap,,N,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,California Veggie Lettuce Wrap,
Cake - Carrot,$27.99 ,371-products,,,,,Cake,Carrot,,,Cake,Carrot,
Coffee Cake Tray - Blueberry Coffee Cake,$2.99 ,59-products,,,,,,,,Y,,,
Coffee Cake Tray - Most Popular,$2.99 ,59-products,,,,,,,,Y,,,
Sandwich Builder Buffet - Smoked Turkey Breast,$9.49 ,79-products,,,,,,,,Y,,,
Sandwich Builder Buffet - Roasted Turkey Breast,$9.49 ,79-products,,,,,,,,Y,,,
Sandwich Builder Buffet - Assorted,$9.49 ,79-products,,,,,,,,Y,,,
Sandwich Builder Buffet - HoneyBaked Ham,$9.49 ,79-products,,,,,,,,Y,,,
Supreme Sandwich Tray,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 4 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 3 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 2 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 1 Vegetarian,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 0 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
VIP Buffet - Smoked Turkey Breast,$11.99 ,7-products,,,,,,,,Y,,,
The Sandwich Builder Buffet - Assorted,$9.49 ,79-products,,,,,,,,Y,,,
Signature Meat & Cheese Tray - Assorted,$69.99 ,487-products,,,,,,,,Y,,,
VIP Buffet - Roasted Turkey Breast,$11.99 ,7-products,,,,,,,,Y,,,
VIP Buffet - Assorted,$11.99 ,7-products,,,,,,,,Y,,,
VIP Buffet - HoneyBaked Ham,$11.99 ,7-products,,,,,,,,Y,,,
